id,caminho_original,nome_original,extensao,nome_proposto,categoria,status_antes_da_execucao,sha256
056,Photos-3-001/unnamed (49).webp,unnamed (49).webp,webp,unnamed (49).webp,14_PEQUENAS_CARGAS,pendente_revisao,8829BF0A28B3A78770FA94C72387ACBB3FCD990258E803B272DA6F990E84F59E
057,Photos-3-001/unnamed (50).webp,unnamed (50).webp,webp,marcus-reboque-caminhao-plataforma-fortaleza-ce-02.webp,15_CAMINHOES_E_PLATAFORMAS,seguro_para_renomeacao,7C63C254FE7FB883996F4E49FB46C64C53D58C410BBB3120929004610770A44C
058,Photos-3-001/unnamed (51).webp,unnamed (51).webp,webp,marcus-reboque-guincho-carro-fortaleza-ce-13.webp,04_CARROS,seguro_para_renomeacao,C2AAF25F4A47EE9928871F6E3CD12662603A6B4DA8C57AAF9B9E22352D33D92E
059,Photos-3-001/unnamed (52).webp,unnamed (52).webp,webp,marcus-reboque-transporte-barco-fortaleza-ce-02.webp,09_BARCOS_E_JET_SKIS,seguro_para_renomeacao,01AB48402FD21ED48EE479836919CE2A4028B4AE2056A0BF2628F746701C1AF6
060,Photos-3-001/unnamed (53).webp,unnamed (53).webp,webp,marcus-reboque-transporte-maquina-agricola-fortaleza-ce-04.webp,10_MAQUINAS_AGRICOLAS,seguro_para_renomeacao,1C95857E3DE2885F96F73AE6A7ABC87E3F623BA270DD9B81394C45EF0C3EA9FE
061,Photos-3-001/unnamed (54).webp,unnamed (54).webp,webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-07.webp,05_CAMINHONETES,seguro_para_renomeacao,7FBC94F338F387BB6D052BEB8BC3EDD69C560BF5C1BCA159A4CAF35333116964
062,Photos-3-001/unnamed (55).webp,unnamed (55).webp,webp,unnamed (55).webp,03_MOTOS,pendente_revisao,3112E7913A7113DE0B52F62AD87D6D5AC0CA347EEC647773BDAFF443D48D151D
063,Photos-3-001/unnamed (56).webp,unnamed (56).webp,webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-08.webp,05_CAMINHONETES,seguro_para_renomeacao,E2FC2367E82051279CDDC74B845D42C345168B9018AD5A4A72E9F3F51C97C9B6
064,Photos-3-001/unnamed (57).webp,unnamed (57).webp,webp,marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-03.webp,02_HERO,seguro_para_renomeacao,CF6D980C9015A43AFB9E229A9FFB0C0270C928C6C4ADDB761AF80A464C87AC35
065,Photos-3-001/unnamed (58).webp,unnamed (58).webp,webp,marcus-reboque-transporte-maquina-agricola-fortaleza-ce-05.webp,10_MAQUINAS_AGRICOLAS,seguro_para_renomeacao,CD882C981ED9D2957A0CF97A91244115948F22B58CA40936A3E50E40BD512D13
066,Photos-3-001/unnamed (59).webp,unnamed (59).webp,webp,unnamed (59).webp,25_INADEQUADAS_PARA_PUBLICACAO,pendente_revisao,2B47407CA9F398FC6B42E3A7AACC9E1BC00F3585F5B318CD5665CCED7934972A
067,Photos-3-001/unnamed (60).webp,unnamed (60).webp,webp,unnamed (60).webp,05_CAMINHONETES,pendente_revisao,FBC20C095C80DF138529EC987C5C7271EEF4215B03D445A6D41D3A4BC3A68369
068,Photos-3-001/unnamed (61).webp,unnamed (61).webp,webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-10.webp,05_CAMINHONETES,seguro_para_renomeacao,1B8B3BD7B91F2FE82D2976C558A2ABCDE3871B7C4FF4AAFEFC7B9F5AAE588685
069,Photos-3-001/unnamed (62).webp,unnamed (62).webp,webp,unnamed (62).webp,25_INADEQUADAS_PARA_PUBLICACAO,pendente_revisao,D76A050625704E8E12656B1E06D947EB23595AF47CCEF3736620D3D07A44E823
070,Photos-3-001/unnamed (63).webp,unnamed (63).webp,webp,marcus-reboque-transporte-veiculo-especial-fortaleza-ce-02.webp,08_VEICULOS_ESPECIAIS,seguro_para_renomeacao,05D5A7C340358475200A310E4EA8C870D4231FB64B8AD4465F138D290208942A
071,Photos-3-001/unnamed (64).webp,unnamed (64).webp,webp,marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-03.webp,11_VEICULOS_ANTIGOS,seguro_para_renomeacao,CB5A8F7E972A4A6C1E94B9526E6A003FA64BD650A63776CD9AB930EA3D404484
